[102, 102, 102] -144 379 -139 379
[170, 170, 170] -139 379 -131 379
[102, 102, 102] -131 379 -125 379
[0, 0, 0] -125 379 -95 379
[102, 102, 102] -95 379 -79 379
[170, 170, 170] -79 379 -67 379
[255, 255, 255] -67 379 567 379
[170, 170, 170] 567 379 580 379
[102, 102, 102] 580 379 595 379
[0, 0, 0] 595 379 626 379
[102, 102, 102] 626 379 632 379
[170, 170, 170] 632 379 640 379
[102, 102, 102] 640 379 645 379
[0, 0, 0] 645 379 1086 379
[0, 0, 0] -585 380 -139 380
[102, 102, 102] -139 380 -131 380
[0, 0, 0] -131 380 -110 380
[102, 102, 102] -110 380 -97 380
[170, 170, 170] -97 380 -80 380
[255, 255, 255] -80 380 580 380
[170, 170, 170] 580 380 598 380
[102, 102, 102] 598 380 610 380
[0, 0, 0] 610 380 632 380
[102, 102, 102] 632 380 639 380
[0, 0, 0] 639 380 1086 380
[0, 0, 0] -585 381 -121 381
[102, 102, 102] -121 381 -106 381
[170, 170, 170] -106 381 -96 381
[255, 255, 255] -96 381 596 381
[170, 170, 170] 596 381 607 381
[102, 102, 102] 607 381 621 381
[0, 0, 0] 621 381 1086 381
[0, 0, 0] -585 382 -134 382
[102, 102, 102] -134 382 -122 382
[170, 170, 170] -122 382 -107 382
[254, 175, 168] -107 382 -105 382
[255, 255, 255] -105 382 607 382
[170, 170, 170] 607 382 623 382
[102, 102, 102] 623 382 635 382
[0, 0, 0] 635 382 1086 382
[0, 0, 0] -585 383 -201 383
[102, 102, 102] -201 383 -199 383
[0, 0, 0] -199 383 -145 383
[102, 102, 102] -145 383 -131 383
[170, 170, 170] -131 383 -121 383
[255, 255, 255] -121 383 621 383
[170, 170, 170] 621 383 632 383
[102, 102, 102] 632 383 646 383
[0, 0, 0] 646 383 699 383
[102, 102, 102] 699 383 702 383
[0, 0, 0] 702 383 1086 383
[0, 0, 0] -585 384 -209 384
[102, 102, 102] -209 384 -203 384
[170, 170, 170] -203 384 -197 384
[102, 102, 102] -197 384 -191 384
[0, 0, 0] -191 384 -157 384
[102, 102, 102] -157 384 -145 384
[170, 170, 170] -145 384 -131 384
[255, 255, 255] -131 384 631 384
[170, 170, 170] 631 384 646 384
[102, 102, 102] 646 384 658 384
[0, 0, 0] 658 384 691 384
[102, 102, 102] 691 384 698 384
[170, 170, 170] 698 384 704 384
[102, 102, 102] 704 384 710 384
[0, 0, 0] 710 384 1086 384
[0, 0, 0] -585 385 -210 385
[102, 102, 102] -210 385 -204 385
[170, 170, 170] -204 385 -196 385
[102, 102, 102] -196 385 -190 385
[0, 0, 0] -190 385 -167 385
[102, 102, 102] -167 385 -154 385
[170, 170, 170] -154 385 -143 385
[255, 255, 255] -143 385 643 385
[170, 170, 170] 643 385 655 385
[102, 102, 102] 655 385 668 385
[0, 0, 0] 668 385 691 385
[102, 102, 102] 691 385 697 385
[170, 170, 170] 697 385 705 385
[102, 102, 102] 705 385 711 385
[0, 0, 0] 711 385 1086 385
[0, 0, 0] -585 386 -205 386
[102, 102, 102] -205 386 -196 386
[0, 0, 0] -196 386 -179 386
[102, 102, 102] -179 386 -167 386
[170, 170, 170] -167 386 -153 386
[255, 255, 255] -153 386 653 386
[170, 170, 170] 653 386 668 386
[102, 102, 102] 668 386 679 386
